HH,Run Time,Problem Domain,Instance ID,0,1,2,3,4
SCF_AM_HH,17,SAT,3,322.0,337.0,319.0,318.0,341.0
SCF_AM_HH,17,SAT,11,131.0,126.0,131.0,125.0,121.0
SCF_AM_HH,17,TSP,0,59794.35315934572,51586.97565452697,51202.3854959821,53570.96304667051,51025.85758504495
SCF_AM_HH,17,TSP,6,60992.43636357342,63680.253498237624,59863.920659332296,63318.14910575229,62418.66217471266
SCF_AM_HH,17,BinPacking,7,0.18790181989247234,0.18786738172043038,0.19209486327077796,0.19056807248322116,0.19215827077747893
SCF_AM_HH,17,BinPacking,11,0.09489563673263157,0.09731859169200219,0.09098307066599631,0.09836055696203128,0.09846253164557606
SCF_AM_HH,17,SAT,3,312.0,328.0,319.0,333.0,369.0
SCF_AM_HH,17,SAT,11,122.0,120.0,129.0,118.0,114.0
SCF_AM_HH,17,TSP,0,59794.35315934572,64644.43660435062,60973.11160893165,68320.95409077899,59794.35315934572
SCF_AM_HH,17,TSP,6,60992.43636357342,63680.253498237624,59863.920659332296,63318.14910575229,62418.66217471266
SCF_AM_HH,17,BinPacking,7,0.18790181989247234,0.18786738172043038,0.19209486327077796,0.19056807248322116,0.19215827077747893
SCF_AM_HH,17,BinPacking,11,0.09489563673263157,0.09731859169200219,0.09098307066599631,0.09836055696203128,0.09846253164557606
SCF_AM_HH,17,SAT,3,322.0,328.0,319.0,324.0,356.0
SCF_AM_HH,17,SAT,11,137.0,123.0,132.0,121.0,114.0
SCF_AM_HH,17,TSP,0,59794.35315934572,64644.43660435062,60973.11160893165,68320.95409077899,59794.35315934572
SCF_AM_HH,17,TSP,6,60992.43636357342,63680.253498237624,59863.920659332296,63318.14910575229,62418.66217471266
SCF_AM_HH,17,BinPacking,7,0.18790181989247234,0.18786738172043038,0.19209486327077796,0.19056807248322116,0.19215827077747893
SCF_AM_HH,17,BinPacking,11,0.09489563673263157,0.09731859169200219,0.09098307066599631,0.09836055696203128,0.09846253164557606
SCF_AM_HH,17,SAT,3,322.0,328.0,319.0,333.0,369.0
SCF_AM_HH,17,SAT,11,125.0,126.0,126.0,115.0,111.0
SCF_AM_HH,17,TSP,0,59794.35315934572,64644.43660435062,60973.11160893165,68320.95409077899,59794.35315934572
SCF_AM_HH,17,TSP,6,60992.43636357342,63680.253498237624,59863.920659332296,63318.14910575229,62418.66217471266
SCF_AM_HH,17,BinPacking,7,0.18790181989247234,0.18786738172043038,0.19209486327077796,0.19056807248322116,0.19215827077747893
SCF_AM_HH,17,BinPacking,11,0.09489563673263157,0.09731859169200219,0.09098307066599631,0.09836055696203128,0.09846253164557606
SCF_AM_HH,17,SAT,3,322.0,337.0,319.0,324.0,356.0
SCF_AM_HH,17,SAT,11,128.0,126.0,120.0,121.0,117.0
SCF_AM_HH,17,TSP,0,59794.35315934572,64644.43660435062,60973.11160893165,68320.95409077899,59794.35315934572
SCF_AM_HH,17,TSP,6,60992.43636357342,63680.253498237624,59863.920659332296,63318.14910575229,62418.66217471266
